,code,title,time,sdate,grade,audience,summary,thumb
63,29756,동감,110,2,12세 관람가,1867,"""우리는 다른 시간 속에서 같은 사랑을 꿈꾼다.""",https://movie-phinf.pstatic.net/20111223_63/1324582931977UVftC_JPEG/movie_image.jpg?type=m99_141_2
64,161967,기생충,131,2,15세 관람가,10289625,“폐 끼치고 싶진 않았어요”,https://movie-phinf.pstatic.net/20190528_36/1559024198386YVTEw_JPEG/movie_image.jpg?type=m99_141_2
65,10262,델마와 루이스,124,2,청소년 관람불가,16594,"늘 당하기만 하던 그녀들, 세상 밖으로 나오다!
사랑스러운 ‘델마’와 ‘루이스’의 거침없는 휴가에 동참하라!
상상 그 이상의 우아하고 짜릿한 일탈! Let’s Keep Going~",https://movie-phinf.pstatic.net/20170216_133/1487219944295t5JGl_PNG/movie_image.jpg?type=m99_141_2
66,188030,산티아고의 흰 지팡이,98,2,전체 관람가,801,,https://movie-phinf.pstatic.net/20200224_203/1582521580654NE5i0_JPEG/movie_image.jpg?type=m99_141_2
67,190595,아웃사이더,119,2,청소년 관람불가,1484,,https://movie-phinf.pstatic.net/20200319_107/1584583866701nNfEi_JPEG/movie_image.jpg?type=m99_141_2
68,113165,이다,82,2,15세 관람가,15705,,https://movie-phinf.pstatic.net/20150224_250/1424752921781xxMOA_JPEG/movie_image.jpg?type=m99_141_2
69,171528,페인티드 버드,169,2,청소년 관람불가,1014,,https://movie-phinf.pstatic.net/20200310_181/1583801812674mIkzT_JPEG/movie_image.jpg?type=m99_141_2
70,186610,신문기자,113,2,12세 관람가,13781,“나는 진실을 알려야 하는 기자예요”,https://movie-phinf.pstatic.net/20200313_272/1584060172821k9N8V_JPEG/movie_image.jpg?type=m99_141_2
71,172816,수퍼 소닉,98,2,전체 관람가,118649,세상을 구할 초고속 히어로의 탄생!,https://movie-phinf.pstatic.net/20200212_230/1581484545428fich8_JPEG/movie_image.jpg?type=m99_141_2
72,92505,아무르,127,2,15세 관람가,81225,,https://movie-phinf.pstatic.net/20121121_153/1353464045942MC97D_JPEG/movie_image.jpg?type=m99_141_2
73,52747,부당거래,119,2,청소년 관람불가,2725655,대국민 조작 이벤트,https://movie-phinf.pstatic.net/20111223_235/1324625472367kWNBr_JPEG/movie_image.jpg?type=m99_141_2
74,31801,봄날은 간다,106,2,15세 관람가,9342,사랑이 이만큼 다가왔다고 느끼는 순간 (봄날은 간다),https://movie-phinf.pstatic.net/20111222_101/132453823522438dy3_JPEG/movie_image.jpg?type=m99_141_2
75,24830,노팅 힐,124,2,12세 관람가,65477,"SHE 그저 여자일 뿐이에요 사랑받길 원하는
난 노팅 힐에 당신은 비벌리 힐스에 살죠 HE",https://movie-phinf.pstatic.net/20190325_31/1553488426511DoXdd_JPEG/movie_image.jpg?type=m99_141_2
76,159879,용길이네 곱창집,127,2,15세 관람가,3736,"“설령, 어제가 어떤 날이든
내일은 분명 좋은 날이 올 것이다”",https://movie-phinf.pstatic.net/20200310_188/1583817069456e1QRv_JPEG/movie_image.jpg?type=m99_141_2
77,17796,일 포스티노,114,2,15세 관람가,0,"우정과 사랑, 성장을 담은 한 폭의 시
“시가 내게로 왔다”",https://movie-phinf.pstatic.net/20170224_224/1487898984194Udh3k_JPEG/movie_image.jpg?type=m99_141_2
78,190720,젠틀맨,113,2,청소년 관람불가,81152,"정글에는 법칙이 있고, 범죄에도 품격이 있다!",https://movie-phinf.pstatic.net/20200211_164/1581396524128hxWV1_JPEG/movie_image.jpg?type=m99_141_2
